description,category,amount
Doctor consultation fee Rs 7533,Healthcare,7533
Taxi fare Rs 3658,Transportation,3658
Doctor consultation fee Rs 4127,Healthcare,4127
Paid Rs 16435 to Tribhuvan University for tuition,Education,16435
Sent Rs 13388 to Karen Daniels,Transfer,13388
Concert tickets Rs 12901,Entertainment,12901
electronics bought for Rs 19318,Shopping,19318
Cleared gas dues Rs 7245,Utilities,7245
Movie tickets at Big Movies NPR 6586,Entertainment,6586
Doctor consultation fee Rs 19452,Healthcare,19452
Doctor consultation fee Rs 1419,Healthcare,1419
Spotify subscription Rs 18400,Entertainment,18400
Paid NPR 6060 for Ncell topup,Mobile Topup,6060
Education payment to Kathmandu University Rs 12393,Education,12393
Food order from OR2K ₹12279,Food,12279
Online shopping 17537,Shopping,17537
Mobile recharge for NTC NPR 19933,Mobile Topup,19933
Medical bill at Norvic Rs 13085,Healthcare,13085
electronics bought for Rs 5337,Shopping,5337
Transfer to HYAL01011885344741 NPR 11777,Transfer,11777
Dining at KFC Rs 2004,Food,2004
Fuel at Shiva Fuel Rs 11136,Transportation,11136
gas bill payment NPR 8283,Utilities,8283
electricity bill payment NPR 16359,Utilities,16359
water bill payment NPR 4601,Utilities,4601
Spotify subscription Rs 10362,Entertainment,10362
Paid NPR 4836 for Ncell topup,Mobile Topup,4836
Paid Rs 2762 for internet bill,Utilities,2762
Mobile recharge for NTC NPR 10291,Mobile Topup,10291
Got Salary of NPR 19742,Transfer,19742
Education payment to Kathmandu University Rs 17807,Education,17807
Recharged NTC mobile with NPR 17863,Mobile Topup,17863
Taxi fare Rs 1001,Transportation,1001
Medical bill at Mediciti Rs 8261,Healthcare,8261
Doctor consultation fee Rs 16821,Healthcare,16821
Mobile recharge for NTC NPR 18697,Mobile Topup,18697
Public transport pass NPR 3160,Transportation,3160
Public transport pass NPR 12119,Transportation,12119
Online shopping 6231,Shopping,6231
Spent ₹18603 at KFC,Food,18603
Doctor consultation fee Rs 12940,Healthcare,12940
Paid Rs 17547 for electricity bill,Utilities,17547
Dining at OR2K Rs 16480,Food,16480
Concert tickets Rs 10616,Entertainment,10616
Purchase at Daraz Rs 1206,Shopping,1206
Paid Rs 14045 to Tribhuvan University for tuition,Education,14045
Doctor consultation fee Rs 11651,Healthcare,11651
Got Salary of NPR 4404,Transfer,4404
Paid Rs 19665 for online course fees,Education,19665
Fuel at Sajha Petrol Rs 10876,Transportation,10876
clothes bought for Rs 16520,Shopping,16520
Transfer to LIDW80257895124584 NPR 4379,Transfer,4379
Medical bill at Mediciti Rs 167,Healthcare,167
Spent ₹15221 at Roadhouse Cafe,Food,15221
Medical bill at Mediciti Rs 7891,Healthcare,7891
Movie tickets at FCube NPR 17567,Entertainment,17567
Paid Rs 12040 for online course fees,Education,12040
Concert tickets Rs 11652,Entertainment,11652
Spent ₹12052 at OR2K,Food,12052
Paid Rs 16062 for water bill,Utilities,16062
Food order from KFC ₹211,Food,211
Taxi fare Rs 14934,Transportation,14934
Spent ₹17634 at KFC,Food,17634
Medical bill at Teaching Hospital Rs 9558,Healthcare,9558
Online shopping 4807,Shopping,4807
Transfer to PMML53023530040199 NPR 3217,Transfer,3217
Spotify subscription Rs 15462,Entertainment,15462
Sent Rs 10055 to James Herrera,Transfer,10055
Fuel at Shiva Fuel Rs 5991,Transportation,5991
Got Salary of NPR 5640,Transfer,5640
Money sent to Andrea Fox ₹8145,Transfer,8145
electricity bill payment NPR 5153,Utilities,5153
Purchase at Daraz Rs 5080,Shopping,5080
Paid Rs 6273 for online course fees,Education,6273
Medical bill at Mediciti Rs 14506,Healthcare,14506
Movie tickets at QFX NPR 13661,Entertainment,13661
Sent 17251 to Tribhuvan University for course fees,Education,17251
Paid Rs 5221 for internet bill,Utilities,5221
Purchase at Sastodeal Rs 12273,Shopping,12273
Medical bill at Norvic Rs 7101,Healthcare,7101
Amazon Prime subscription Rs 3747,Entertainment,3747
Mobile recharge for NTC NPR 13491,Mobile Topup,13491
Taxi fare Rs 12887,Transportation,12887
Recharged Smart Cell mobile with NPR 12264,Mobile Topup,12264
Spotify subscription Rs 612,Entertainment,612
Dining at Pizza Hut Rs 1372,Food,1372
Public transport pass NPR 7775,Transportation,7775
Transfer to KYNV82273631509973 NPR 15882,Transfer,15882
Recharged NTC mobile with NPR 3863,Mobile Topup,3863
Sent Rs 6122 to Austin Hunt,Transfer,6122
Education payment to Tribhuvan University Rs 11555,Education,11555
Paid Rs 4895 for online course fees,Education,4895
Paid Rs 15404 for online course fees,Education,15404
Doctor consultation fee Rs 15291,Healthcare,15291
electricity bill payment NPR 6556,Utilities,6556
Amazon Prime subscription Rs 18606,Entertainment,18606
Concert tickets Rs 203,Entertainment,203
Spent ₹9880 at Roadhouse Cafe,Food,9880
Money sent to Barbara Buckley ₹10830,Transfer,10830
groceries bought for Rs 17392,Shopping,17392
Paid NPR 6942 for Smart Cell topup,Mobile Topup,6942
Medical bill at Teaching Hospital Rs 11790,Healthcare,11790
groceries bought for Rs 6597,Shopping,6597
Taxi fare Rs 12402,Transportation,12402
Fuel at Sajha Petrol Rs 12636,Transportation,12636
Movie tickets at Big Movies NPR 13922,Entertainment,13922
Purchase at Sastodeal Rs 2300,Shopping,2300
Taxi fare Rs 6990,Transportation,6990
Sent Rs 5785 to Michael Lucero,Transfer,5785
Concert tickets Rs 13470,Entertainment,13470
Medical bill at Teaching Hospital Rs 17566,Healthcare,17566
Movie tickets at FCube NPR 14807,Entertainment,14807
Paid NPR 19281 for Smart Cell topup,Mobile Topup,19281
Online shopping 3260,Shopping,3260
Cleared electricity dues Rs 17114,Utilities,17114
Education payment to Kathmandu University Rs 9183,Education,9183
Cleared electricity dues Rs 16371,Utilities,16371
Cleared gas dues Rs 6837,Utilities,6837
Sent 9617 to Tribhuvan University for course fees,Education,9617
internet bill payment NPR 11338,Utilities,11338
Sent 10905 to Tribhuvan University for course fees,Education,10905
electronics bought for Rs 7287,Shopping,7287
Paid Rs 10564 for gas bill,Utilities,10564
Pharmacy purchase NPR 13145,Healthcare,13145
clothes bought for Rs 7846,Shopping,7846
Medical bill at Norvic Rs 15666,Healthcare,15666
Sent Rs 19399 to Gregory Smith,Transfer,19399
Food order from Pizza Hut ₹17718,Food,17718
Purchase at Daraz Rs 1505,Shopping,1505
Paid Rs 17533 for internet bill,Utilities,17533
Cleared gas dues Rs 9246,Utilities,9246
Dining at OR2K Rs 4572,Food,4572
Recharged Smart Cell mobile with NPR 18460,Mobile Topup,18460
Public transport pass NPR 6606,Transportation,6606
Dining at KFC Rs 4904,Food,4904
Taxi fare Rs 15573,Transportation,15573
Purchase at Sastodeal Rs 12457,Shopping,12457
Spent ₹18807 at Roadhouse Cafe,Food,18807
Recharged Smart Cell mobile with NPR 6244,Mobile Topup,6244
Paid NPR 19511 for NTC topup,Mobile Topup,19511
Movie tickets at QFX NPR 11818,Entertainment,11818
Education payment to Whitehouse College Rs 7221,Education,7221
Purchase at New Road Shop Rs 618,Shopping,618
Purchase at Sastodeal Rs 14696,Shopping,14696
Online shopping 7348,Shopping,7348
Taxi fare Rs 3018,Transportation,3018
Dining at OR2K Rs 19683,Food,19683
Money sent to Amber Gardner ₹18715,Transfer,18715
Taxi fare Rs 11300,Transportation,11300
Public transport pass NPR 17746,Transportation,17746
Doctor consultation fee Rs 15154,Healthcare,15154
Sent Rs 19983 to Jennifer Miranda,Transfer,19983
Transfer to UYSD61803838516208 NPR 1725,Transfer,1725
gas bill payment NPR 5642,Utilities,5642
Paid Rs 13287 for internet bill,Utilities,13287
Spent ₹8140 at Roadhouse Cafe,Food,8140
water bill payment NPR 674,Utilities,674
Mobile recharge for Ncell NPR 8810,Mobile Topup,8810
Transfer to USSJ90475816831285 NPR 15809,Transfer,15809
internet bill payment NPR 9835,Utilities,9835
clothes bought for Rs 12266,Shopping,12266
Online shopping 555,Shopping,555
Fuel at Shiva Fuel Rs 14832,Transportation,14832
Pharmacy purchase NPR 17965,Healthcare,17965
Dining at KFC Rs 3752,Food,3752
Online shopping 17973,Shopping,17973
gas bill payment NPR 15894,Utilities,15894
Sent 1377 to Tribhuvan University for course fees,Education,1377
Online shopping 19438,Shopping,19438
Education payment to Whitehouse College Rs 1676,Education,1676
Fuel at Shiva Fuel Rs 3857,Transportation,3857
Movie tickets at QFX NPR 12972,Entertainment,12972
Cleared internet dues Rs 2685,Utilities,2685
Got Salary of NPR 19276,Transfer,19276
Paid Rs 3079 for gas bill,Utilities,3079
Spent ₹14228 at Pizza Hut,Food,14228
Paid Rs 13838 for online course fees,Education,13838
Mobile recharge for NTC NPR 8184,Mobile Topup,8184
Public transport pass NPR 6372,Transportation,6372
Recharged Ncell mobile with NPR 14579,Mobile Topup,14579
Doctor consultation fee Rs 4382,Healthcare,4382
Fuel at Nepal Oil Rs 6546,Transportation,6546
Mobile recharge for Smart Cell NPR 2559,Mobile Topup,2559
Online shopping 6728,Shopping,6728
Online shopping 959,Shopping,959
Public transport pass NPR 11397,Transportation,11397
Public transport pass NPR 7079,Transportation,7079
Education payment to Tribhuvan University Rs 7685,Education,7685
Pharmacy purchase NPR 4521,Healthcare,4521
Recharged NTC mobile with NPR 7099,Mobile Topup,7099
Paid Rs 1014 to Kathmandu University for tuition,Education,1014
Pharmacy purchase NPR 407,Healthcare,407
Sent 367 to Whitehouse College for course fees,Education,367
Paid NPR 145 for Ncell topup,Mobile Topup,145
Medical bill at Mediciti Rs 8545,Healthcare,8545
Online shopping 15025,Shopping,15025
Purchase at New Road Shop Rs 6691,Shopping,6691
Paid Rs 3076 for gas bill,Utilities,3076
Doctor consultation fee Rs 19739,Healthcare,19739
Doctor consultation fee Rs 14383,Healthcare,14383
Dining at Pizza Hut Rs 12315,Food,12315
YouTube Premium subscription Rs 13076,Entertainment,13076
groceries bought for Rs 8915,Shopping,8915
water bill payment NPR 1499,Utilities,1499
Fuel at Nepal Oil Rs 6243,Transportation,6243
electronics bought for Rs 5446,Shopping,5446
Online shopping 15219,Shopping,15219
Concert tickets Rs 18414,Entertainment,18414
electricity bill payment NPR 7685,Utilities,7685
Got Salary of NPR 13937,Transfer,13937
Money sent to Julie Hunter ₹15110,Transfer,15110
Medical bill at Mediciti Rs 17776,Healthcare,17776
internet bill payment NPR 11636,Utilities,11636
Public transport pass NPR 11755,Transportation,11755
Pharmacy purchase NPR 9000,Healthcare,9000
Food order from Pizza Hut ₹18453,Food,18453
Doctor consultation fee Rs 14092,Healthcare,14092
Fuel at Nepal Oil Rs 12266,Transportation,12266
Mobile recharge for NTC NPR 8391,Mobile Topup,8391
Movie tickets at FCube NPR 6729,Entertainment,6729
Purchase at Daraz Rs 15624,Shopping,15624
Paid Rs 7875 for water bill,Utilities,7875
Public transport pass NPR 10320,Transportation,10320
Doctor consultation fee Rs 2582,Healthcare,2582
Online shopping 18924,Shopping,18924
Sent 8005 to Kathmandu University for course fees,Education,8005
Online shopping 15765,Shopping,15765
Fuel at Shiva Fuel Rs 19533,Transportation,19533
Purchase at Daraz Rs 9203,Shopping,9203
Transfer to ENOD18706484109676 NPR 8058,Transfer,8058
books bought for Rs 696,Shopping,696
Cleared water dues Rs 11175,Utilities,11175
Paid Rs 13825 for water bill,Utilities,13825
Paid Rs 16065 to Tribhuvan University for tuition,Education,16065
Paid NPR 1314 for NTC topup,Mobile Topup,1314
Mobile recharge for NTC NPR 19289,Mobile Topup,19289
Movie tickets at FCube NPR 3063,Entertainment,3063
Doctor consultation fee Rs 4435,Healthcare,4435
Pharmacy purchase NPR 2856,Healthcare,2856
Cleared electricity dues Rs 8762,Utilities,8762
Education payment to Tribhuvan University Rs 4676,Education,4676
Sent 10782 to Whitehouse College for course fees,Education,10782
Concert tickets Rs 856,Entertainment,856
Spent ₹4732 at Roadhouse Cafe,Food,4732
Mobile recharge for NTC NPR 12771,Mobile Topup,12771
Doctor consultation fee Rs 13108,Healthcare,13108
Paid NPR 19907 for Ncell topup,Mobile Topup,19907
Spent ₹18122 at KFC,Food,18122
Paid Rs 9861 for online course fees,Education,9861
Recharged Smart Cell mobile with NPR 8868,Mobile Topup,8868
Pharmacy purchase NPR 1893,Healthcare,1893
Purchase at New Road Shop Rs 2517,Shopping,2517
Food order from OR2K ₹11762,Food,11762
Pharmacy purchase NPR 14394,Healthcare,14394
gas bill payment NPR 12201,Utilities,12201
Paid NPR 7071 for Smart Cell topup,Mobile Topup,7071
Paid Rs 19355 for gas bill,Utilities,19355
Online shopping 9486,Shopping,9486
Online shopping 2478,Shopping,2478
Got Salary of NPR 10331,Transfer,10331
Paid NPR 3891 for Ncell topup,Mobile Topup,3891
groceries bought for Rs 15043,Shopping,15043
Taxi fare Rs 449,Transportation,449
Concert tickets Rs 7636,Entertainment,7636
Dining at Pizza Hut Rs 18385,Food,18385
Sent Rs 4390 to Anthony Thornton,Transfer,4390
Movie tickets at Big Movies NPR 19082,Entertainment,19082
Dining at Pizza Hut Rs 8941,Food,8941
Money sent to Dennis Roberts ₹16564,Transfer,16564
Amazon Prime subscription Rs 1319,Entertainment,1319
Got Salary of NPR 2459,Transfer,2459
Dining at KFC Rs 3369,Food,3369
Online shopping 1487,Shopping,1487
Cleared water dues Rs 6683,Utilities,6683
Paid Rs 2164 for gas bill,Utilities,2164
Got Salary of NPR 10459,Transfer,10459
Sent Rs 2619 to Brian Raymond,Transfer,2619
Medical bill at Teaching Hospital Rs 8369,Healthcare,8369
Medical bill at Grande Rs 8392,Healthcare,8392
electricity bill payment NPR 12148,Utilities,12148
Fuel at Nepal Oil Rs 16237,Transportation,16237
Education payment to Kathmandu University Rs 11977,Education,11977
clothes bought for Rs 8898,Shopping,8898
Medical bill at Mediciti Rs 4442,Healthcare,4442
Fuel at Shiva Fuel Rs 5175,Transportation,5175
Dining at KFC Rs 16645,Food,16645
Got Salary of NPR 8975,Transfer,8975
Dining at KFC Rs 11250,Food,11250
Pharmacy purchase NPR 17579,Healthcare,17579
Paid Rs 4986 to Tribhuvan University for tuition,Education,4986
Sent 15158 to Tribhuvan University for course fees,Education,15158
Paid Rs 4264 for online course fees,Education,4264
Movie tickets at Big Movies NPR 12961,Entertainment,12961
Recharged Smart Cell mobile with NPR 3528,Mobile Topup,3528
Fuel at Nepal Oil Rs 13549,Transportation,13549
Paid NPR 10033 for Smart Cell topup,Mobile Topup,10033
Netflix subscription Rs 3441,Entertainment,3441
Medical bill at Mediciti Rs 10179,Healthcare,10179
Paid NPR 13685 for NTC topup,Mobile Topup,13685
Fuel at Sajha Petrol Rs 16277,Transportation,16277
electronics bought for Rs 17692,Shopping,17692
Got Salary of NPR 3684,Transfer,3684
Fuel at Shiva Fuel Rs 11993,Transportation,11993
Dining at Roadhouse Cafe Rs 5359,Food,5359
Spotify subscription Rs 16361,Entertainment,16361
Paid Rs 11644 for online course fees,Education,11644
water bill payment NPR 7036,Utilities,7036
Transfer to QCQS38762753018856 NPR 11533,Transfer,11533
internet bill payment NPR 2029,Utilities,2029
Paid Rs 11332 for water bill,Utilities,11332
Paid NPR 5663 for NTC topup,Mobile Topup,5663
Public transport pass NPR 18218,Transportation,18218
Spotify subscription Rs 3112,Entertainment,3112
Paid Rs 17862 for internet bill,Utilities,17862
Got Salary of NPR 13773,Transfer,13773
Concert tickets Rs 4091,Entertainment,4091
Medical bill at Grande Rs 13144,Healthcare,13144
Fuel at Nepal Oil Rs 17141,Transportation,17141
Movie tickets at QFX NPR 3414,Entertainment,3414
Cleared gas dues Rs 8253,Utilities,8253
Cleared gas dues Rs 2163,Utilities,2163
Transfer to NZAK67205762657504 NPR 16168,Transfer,16168
Public transport pass NPR 17871,Transportation,17871
Paid NPR 16294 for Smart Cell topup,Mobile Topup,16294
Movie tickets at Big Movies NPR 5397,Entertainment,5397
Sent 10860 to Whitehouse College for course fees,Education,10860
Cleared gas dues Rs 7544,Utilities,7544
Movie tickets at Big Movies NPR 12981,Entertainment,12981
Pharmacy purchase NPR 7893,Healthcare,7893
Taxi fare Rs 12092,Transportation,12092
groceries bought for Rs 18424,Shopping,18424
Paid Rs 3376 for electricity bill,Utilities,3376
Mobile recharge for NTC NPR 14143,Mobile Topup,14143
Dining at KFC Rs 19669,Food,19669
Spent ₹18129 at KFC,Food,18129
electronics bought for Rs 18687,Shopping,18687
Spent ₹18249 at Pizza Hut,Food,18249
electricity bill payment NPR 9870,Utilities,9870
water bill payment NPR 7647,Utilities,7647
Fuel at Shiva Fuel Rs 6881,Transportation,6881
Paid NPR 12643 for Ncell topup,Mobile Topup,12643
internet bill payment NPR 8335,Utilities,8335
Public transport pass NPR 9752,Transportation,9752
Food order from Pizza Hut ₹3591,Food,3591
Got Salary of NPR 18677,Transfer,18677
clothes bought for Rs 10249,Shopping,10249
Purchase at Sastodeal Rs 13667,Shopping,13667
Taxi fare Rs 18535,Transportation,18535
gas bill payment NPR 17543,Utilities,17543
Online shopping 17166,Shopping,17166
Purchase at New Road Shop Rs 2802,Shopping,2802
Money sent to William Murray ₹11758,Transfer,11758
Online shopping 14063,Shopping,14063
Spent ₹17089 at Pizza Hut,Food,17089
Fuel at Shiva Fuel Rs 11691,Transportation,11691
Online shopping 17096,Shopping,17096
Recharged Smart Cell mobile with NPR 5020,Mobile Topup,5020
Concert tickets Rs 10470,Entertainment,10470
Got Salary of NPR 7093,Transfer,7093
internet bill payment NPR 18640,Utilities,18640
Purchase at Sastodeal Rs 2026,Shopping,2026
Doctor consultation fee Rs 14586,Healthcare,14586
Doctor consultation fee Rs 3724,Healthcare,3724
Amazon Prime subscription Rs 17295,Entertainment,17295
Food order from Roadhouse Cafe ₹10326,Food,10326
Recharged Smart Cell mobile with NPR 1875,Mobile Topup,1875
Paid Rs 17418 to Kathmandu University for tuition,Education,17418
Transfer to BPML29142360364818 NPR 16318,Transfer,16318
Mobile recharge for Smart Cell NPR 9847,Mobile Topup,9847
Mobile recharge for Smart Cell NPR 5994,Mobile Topup,5994
Movie tickets at FCube NPR 7551,Entertainment,7551
Pharmacy purchase NPR 13129,Healthcare,13129
Paid Rs 280 to Whitehouse College for tuition,Education,280
Pharmacy purchase NPR 19361,Healthcare,19361
Dining at Pizza Hut Rs 830,Food,830
Online shopping 18170,Shopping,18170
Doctor consultation fee Rs 14271,Healthcare,14271
Mobile recharge for NTC NPR 8220,Mobile Topup,8220
Dining at Roadhouse Cafe Rs 3798,Food,3798
Concert tickets Rs 11502,Entertainment,11502
Concert tickets Rs 12664,Entertainment,12664
Public transport pass NPR 12702,Transportation,12702
Purchase at Sastodeal Rs 10138,Shopping,10138
Food order from Pizza Hut ₹8929,Food,8929
Movie tickets at QFX NPR 8879,Entertainment,8879
Fuel at Nepal Oil Rs 1087,Transportation,1087
Food order from OR2K ₹5967,Food,5967
Paid Rs 10582 for gas bill,Utilities,10582
Spent ₹12684 at Pizza Hut,Food,12684
clothes bought for Rs 3070,Shopping,3070
Mobile recharge for NTC NPR 11009,Mobile Topup,11009
Doctor consultation fee Rs 17055,Healthcare,17055
Paid Rs 8349 to Kathmandu University for tuition,Education,8349
Got Salary of NPR 19028,Transfer,19028
electronics bought for Rs 2034,Shopping,2034
Medical bill at Norvic Rs 14677,Healthcare,14677
Purchase at Sastodeal Rs 15616,Shopping,15616
Cleared gas dues Rs 5410,Utilities,5410
Paid Rs 10526 for online course fees,Education,10526
Mobile recharge for NTC NPR 17920,Mobile Topup,17920
Dining at Pizza Hut Rs 1580,Food,1580
Spent ₹11030 at Roadhouse Cafe,Food,11030
electricity bill payment NPR 12682,Utilities,12682
Medical bill at Norvic Rs 19171,Healthcare,19171
Pharmacy purchase NPR 7920,Healthcare,7920
internet bill payment NPR 19871,Utilities,19871
Money sent to Virginia Brown ₹14078,Transfer,14078
Money sent to Randy Nelson ₹15914,Transfer,15914
electricity bill payment NPR 6289,Utilities,6289
Paid Rs 2312 for online course fees,Education,2312
Online shopping 19864,Shopping,19864
Paid Rs 3124 for online course fees,Education,3124
Fuel at Shiva Fuel Rs 8422,Transportation,8422
Transfer to UHHK88093977525324 NPR 669,Transfer,669
internet bill payment NPR 516,Utilities,516
Movie tickets at QFX NPR 9128,Entertainment,9128
Spent ₹3294 at OR2K,Food,3294
Education payment to Tribhuvan University Rs 6291,Education,6291
water bill payment NPR 2294,Utilities,2294
Food order from Pizza Hut ₹14558,Food,14558
Doctor consultation fee Rs 7384,Healthcare,7384
Amazon Prime subscription Rs 16640,Entertainment,16640
Online shopping 10461,Shopping,10461
Cleared internet dues Rs 9063,Utilities,9063
Recharged Smart Cell mobile with NPR 4019,Mobile Topup,4019
Paid Rs 4111 for online course fees,Education,4111
Got Salary of NPR 16347,Transfer,16347
Money sent to Lisa Ferguson ₹3584,Transfer,3584
Money sent to Vanessa Vega ₹19793,Transfer,19793
Pharmacy purchase NPR 12251,Healthcare,12251
Education payment to Tribhuvan University Rs 5965,Education,5965
Sent Rs 1249 to Tanner Myers,Transfer,1249
Paid Rs 4233 for electricity bill,Utilities,4233
Money sent to Dawn Brooks ₹7189,Transfer,7189
Sent 3369 to Tribhuvan University for course fees,Education,3369
